vaccine,year,month,number,total_vaccinations
Oxford/AstraZeneca,2020,12,1,35
Oxford/AstraZeneca,2021,1,2,15608
Oxford/AstraZeneca,2021,2,3,35107234
Oxford/AstraZeneca,2021,3,4,482531958
Oxford/AstraZeneca,2021,4,5,1154295598
Oxford/AstraZeneca,2021,5,6,1981630129
Oxford/AstraZeneca,2021,6,7,2868923654
Oxford/AstraZeneca,2021,7,8,3856604119
Oxford/AstraZeneca,2021,8,9,4250626390
Oxford/AstraZeneca,2021,9,10,4437696306
Oxford/AstraZeneca,2021,10,11,4739156431
Oxford/AstraZeneca,2021,11,12,4575728692
Oxford/AstraZeneca,2021,12,13,4747033128
Oxford/AstraZeneca,2022,1,14,4721851060
Oxford/AstraZeneca,2022,2,15,4214052911
Oxford/AstraZeneca,2022,3,16,4386256244
