Country,Deaths/1M pop
Afghanistan,195
Albania,1257
Algeria,152
Andorra,2130
Angola,55
Anguilla,788
Antigua and Barbuda,1467
Argentina,2837
Armenia,2945
Aruba,2714
Australia,856
Austria,2486
Azerbaijan,999
Bahamas,2107
Bahrain,878
Bangladesh,176
Barbados,2153
Belarus,755
Belgium,2946
Belize,1669
Benin,13
Bermuda,2664
Bhutan,27
Bolivia,1868
Bosnia and Herzegovina,5032
Botswana,1147
Brazil,3272
British Virgin Islands,2092
Brunei,505
Bulgaria,5616
Burkina Faso,18
Burundi,3
Cabo Verde,729
Cambodia,178
Cameroon,71
Canada,1383
CAR,23
Caribbean Netherlands,1426
Cayman Islands,550
Chad,11
Channel Islands,1292
Chile,3350
China,4
Colombia,2774
Comoros,177
Congo,67
Cook Islands,114
Costa Rica,1817
Croatia,4504
Cuba,754
Curaçao,1782
Cyprus,1115
Czechia,3987
Denmark,1503
Diamond Princess,
Djibouti,186
Dominica,1023
Dominican Republic,397
DPRK,3
DRC,15
Ecuador,1990
Egypt,232
El Salvador,646
Equatorial Guinea,122
Eritrea,28
Estonia,2270
Eswatini,1204
Ethiopia,63
Faeroe Islands,569
Falkland Islands,
Fiji,973
Finland,1816
France,2556
French Guiana,1337
French Polynesia,2284
Gabon,132
Gambia,145
Georgia,4309
Germany,2078
Ghana,45
Gibraltar,3353
Greece,3595
Greenland,369
Grenada,2097
Guadeloupe,2554
Guatemala,1089
Guinea,34
Guinea-Bissau,86
Guyana,1636
Haiti,74
Honduras,1088
Hong Kong,1817
Hungary,5088
Iceland,663
India,378
Indonesia,580
Iran,1701
Iraq,602
Ireland,1814
Isle of Man,1353
Israel,1349
Italy,3170
Ivory Coast,30
Jamaica,1201
Japan,595
Jordan,1371
Kazakhstan,721
Kenya,101
Kiribati,194
Kuwait,587
Kyrgyzstan,445
Laos,101
Latvia,3456
Lebanon,1636
Lesotho,332
Liberia,56
Libya,914
Liechtenstein,2449
Lithuania,3642
Luxembourg,1918
Macao,184
Madagascar,49
Malawi,133
Malaysia,1120
Maldives,584
Mali,35
Malta,1917
Marshall Islands,283
Martinique,2946
Mauritania,203
Mauritius,824
Mayotte,657
Mexico,2541
Micronesia,553
Moldova,3022
Monaco,1684
Mongolia,645
Montenegro,4504
Montserrat,1611
Morocco,431
Mozambique,68
MS Zaandam,
Myanmar,353
Namibia,1556
Nauru,92
Nepal,398
Netherlands,1336
New Caledonia,1079
New Zealand,941
Nicaragua,33
Niger,12
Nigeria,15
Niue,
North Macedonia,4649
Norway,1018
Oman,869
Pakistan,134
Palau,494
Palestine,1011
Panama,1946
Papua New Guinea,72
Paraguay,2735
Peru,6569
Philippines,592
Poland,3170
Portugal,2658
Qatar,232
Romania,3586
Russia,2742
Rwanda,108
Réunion,1014
S. Korea,686
Saint Helena,
Saint Kitts and Nevis,891
Saint Lucia,2209
Saint Martin,1586
Saint Pierre Miquelon,347
Samoa,153
San Marino,3667
Sao Tome and Principe,351
Saudi Arabia,269
Senegal,112
Serbia,2087
Seychelles,1730
Sierra Leone,15
Singapore,310
Sint Maarten,2093
Slovakia,3877
Slovenia,3417
Solomon Islands,212
Somalia,81
South Africa,1689
South Sudan,12
Spain,2606
Sri Lanka,782
St. Barth,603
St. Vincent Grenadines,1112
Sudan,110
Suriname,2359
Sweden,2401
Switzerland,1647
Syria,163
Taiwan,796
Tajikistan,13
Tanzania,13
Thailand,491
Timor-Leste,101
Togo,33
Tonga,121
Trinidad and Tobago,3121
Tunisia,2442
Turkey,1194
Turks and Caicos,981
Tuvalu,83
UAE,233
Uganda,75
UK,3331
Ukraine,2603
Uruguay,2184
United States,3494
Uzbekistan,48
Vanuatu,44
Vatican City,
Venezuela,200
Vietnam,437
Wallis and Futuna,728
Western Sahara,2
World,886
Yemen,69
Zambia,209
Zimbabwe,373
