location,Deaths/1M pop
Argentina,2837.0
Austria,2486.0
Belgium,2946.0
Bulgaria,5616.0
Chile,3350.0
Croatia,4504.0
Cyprus,1115.0
Czechia,3987.0
Denmark,1503.0
Ecuador,1990.0
Estonia,2270.0
Finland,1816.0
France,2556.0
Germany,2078.0
Hong Kong,1817.0
Hungary,5088.0
Iceland,663.0
Ireland,1814.0
Italy,3170.0
Japan,595.0
Latvia,3456.0
Liechtenstein,2449.0
Lithuania,3642.0
Luxembourg,1918.0
Malta,1917.0
Nepal,398.0
Netherlands,1336.0
Norway,1018.0
Peru,6569.0
Poland,3170.0
Portugal,2658.0
Romania,3586.0
Slovakia,3877.0
Slovenia,3417.0
South Africa,1689.0
Spain,2606.0
Sweden,2401.0
Switzerland,1647.0
Ukraine,2603.0
United States,3494.0
Uruguay,2184.0
